line_id,order_id,product_id,quantity,unit_price,line_discount,line_total,updated_at
L1001,O1001,P001,1,38.00,0.00,38.00,2026-09-01T15:12:00Z
L1002,O1001,P002,1,42.00,0.00,42.00,2026-09-01T15:12:00Z
L1003,O1002,P004,1,70.00,5.00,65.00,2026-09-01T15:44:00Z
L1004,O1002,P005,1,78.00,5.00,73.00,2026-09-01T15:44:00Z
L1005,O1003,P005,1,78.00,0.00,78.00,2026-09-01T16:05:00Z
L1006,O1004,P003,1,32.00,3.20,28.80,2026-09-01T16:28:00Z
L1007,O1004,P009,1,96.00,13.20,82.80,2026-09-01T16:28:00Z
L1008,O1005,P008,1,128.00,0.00,128.00,2026-09-01T17:04:00Z
L1009,O1006,P002,1,42.00,0.00,42.00,2026-09-01T17:56:00Z
L1010,O1006,P006,1,36.00,0.00,36.00,2026-09-01T17:56:00Z
L1011,O1006,P012,1,28.00,0.00,28.00,2026-09-01T17:56:00Z
L1012,O1007,P007,1,88.00,0.00,88.00,2026-09-01T18:23:00Z
L1013,O1008,P009,1,96.00,0.00,96.00,2026-09-01T18:56:00Z
L1014,O1009,P010,2,18.00,0.00,36.00,2026-09-01T19:12:00Z
L1015,O1009,P012,1,28.00,4.00,24.00,2026-09-01T19:12:00Z
L1016,O1010,P001,1,38.00,0.00,38.00,2026-09-01T20:03:00Z
L1017,O1010,P005,1,78.00,2.00,76.00,2026-09-01T20:03:00Z
L1018,O1011,P004,1,70.00,0.00,70.00,2026-09-01T20:22:00Z
L1019,O1012,P008,1,128.00,20.00,108.00,2026-09-01T20:46:00Z
