order_id,customer_id,order_ts,status,currency,subtotal,discount,tax,shipping,total,updated_at,source_system
O1005,C003,2026-09-01T17:02:00Z,CANCELLED,USD,128.00,0.00,10.24,0.00,138.24,2026-09-02T14:15:00Z,WEB_US
O1011,C012,2026-09-01T20:20:00Z,PAID,USD,65.00,0.00,5.20,5.00,75.20,2026-09-02T14:30:00Z,WEB_US
O1013,C015,2026-09-02T15:05:00Z,PAID,USD,116.00,0.00,9.28,0.00,125.28,2026-09-02T15:07:00Z,WEB_US
O1014,C008,2026-09-02T15:18:00Z,PAID,USD,50.00,0.00,4.00,5.00,59.00,2026-09-02T15:20:00Z,WEB_US
O1015,C001,2026-09-02T16:02:00Z,PAID,USD,162.00,16.20,11.66,0.00,157.46,2026-09-02T16:04:00Z,WEB_US
O1016,C016,2026-09-02T16:55:00Z,PAID,USD,64.00,0.00,5.12,5.00,74.12,2026-09-02T16:56:00Z,WEB_US
O1017,C006,2026-09-02T17:40:00Z,PAID,USD,96.00,0.00,7.68,0.00,103.68,2026-09-02T17:42:00Z,WEB_US
O1018,C013,2026-09-02T18:01:00Z,PAID,USD,102.00,0.00,8.16,0.00,110.16,2026-09-02T18:04:00Z,WEB_US
O1019,C004,2026-09-02T19:12:00Z,PAID,USD,74.00,0.00,5.92,5.00,84.92,2026-09-02T19:14:00Z,WEB_US
O1020,C009,2026-09-02T20:08:00Z,PAID,USD,166.00,20.00,11.68,0.00,157.68,2026-09-02T20:09:00Z,WEB_US
O1020,C009,2026-09-02T20:08:00Z,PAID,USD,166.00,20.00,11.68,0.00,157.68,2026-09-02T20:09:00Z,WEB_US
