snapshot_date,location_id,product_id,on_hand_qty,reserved_qty,available_qty,source_updated_at
2026-09-02,WH_WEST,P001,52,2,50,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P001,34,2,32,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P002,40,2,38,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P002,26,2,24,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P003,59,2,57,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P003,47,2,45,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P004,30,2,28,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P004,25,2,23,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P005,27,2,25,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P005,29,2,27,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P006,49,2,47,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P006,44,2,42,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P007,21,2,19,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P007,17,1,16,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P008,12,1,11,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P008,18,1,17,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P009,19,1,18,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P009,16,1,15,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P010,75,2,73,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P010,63,2,61,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P011,36,2,34,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P011,31,2,29,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P012,54,2,52,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P012,39,2,37,2026-09-02T23:55:00Z
2026-09-02,WH_WEST,P013,20,1,19,2026-09-02T23:55:00Z
2026-09-02,WH_EAST,P013,15,1,14,2026-09-02T23:55:00Z
